Complex Group,Product Name,Merchant Id,MRP,Price,Brand,Vertical Id,Validate,Status,Fulfillment Service,Managed By Paytm,Salesforce Case Id,Merchant SKU,Return Policy Id,Category Id 1,Image Folder,Prefetch Title,videos,video_thumbnail,Online,Paytm SKU,ProductId,,,
1678091383249A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_89,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671EDDE2637,343974569,,,
1678091383246A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_86,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566717D613BA6,343974571,,,
1678091383245A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_85,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671E4686A1C,343974570,,,
1678091383306A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_146,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566711F9744FF,343974582,,,
1678091383312A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_152,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566711E1B1A7,343974601,,,
1678091383304A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_144,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671F19925D3,343974583,,,
1678091383263A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_103,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671B917574,343974587,,,
1678091383196A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_36,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566719E95E26D,343974576,,,
1678091383264A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_104,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667195F5E0D7,343974595,,,
1678091383265A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_105,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671E2F2D041,343974596,,,
1678091383266A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_106,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566717BFB81FB,343974572,,,
1678091383260A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_100,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671929824CE,343974574,,,
